# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
    7943 5.593e-04 6.570e-04 5.811e-04 2.081e-05
   10000 7.246e-04 8.173e-04 7.492e-04 2.071e-05
   12589 9.485e-04 1.068e-03 9.805e-04 2.590e-05
   15849 1.209e-03 1.338e-03 1.259e-03 2.867e-05
   19953 1.576e-03 1.724e-03 1.639e-03 3.125e-05
   25119 2.054e-03 2.236e-03 2.127e-03 4.110e-05
   31623 2.692e-03 2.953e-03 2.780e-03 4.681e-05
   39811 3.555e-03 3.981e-03 3.688e-03 8.179e-05
   50119 4.611e-03 5.045e-03 4.747e-03 8.655e-05
   63096 6.018e-03 6.780e-03 6.222e-03 1.455e-04
   79433 7.810e-03 8.748e-03 8.107e-03 1.850e-04
  100000 1.008e-02 1.101e-02 1.040e-02 1.976e-04
  125893 1.310e-02 1.438e-02 1.351e-02 2.594e-04
  158489 1.714e-02 1.869e-02 1.772e-02 3.362e-04
  199526 2.223e-02 2.424e-02 2.297e-02 4.455e-04
  251189 2.894e-02 3.180e-02 3.008e-02 6.312e-04
  316228 3.790e-02 4.288e-02 3.962e-02 1.091e-03
  398107 4.910e-02 5.559e-02 5.128e-02 1.355e-03
  501187 6.419e-02 7.208e-02 6.703e-02 1.660e-03
#------- --------- --------- --------- ---------


# quick_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 4.730e-07 8.000e-07 5.429e-07 7.159e-08
      13 5.720e-07 8.210e-07 6.436e-07 4.504e-08
      16 6.620e-07 1.389e-06 7.967e-07 1.639e-07
      20 7.700e-07 1.617e-06 9.561e-07 1.880e-07
      25 8.140e-07 1.093e-06 9.177e-07 5.339e-08
      32 8.340e-07 1.232e-06 1.070e-06 8.868e-08
      40 9.620e-07 1.464e-06 1.100e-06 1.270e-07
      50 1.152e-06 1.855e-06 1.384e-06 1.752e-07
      63 1.434e-06 2.196e-06 1.797e-06 2.144e-07
      79 2.129e-06 2.669e-06 2.424e-06 1.246e-07
     100 2.296e-06 3.370e-06 2.727e-06 3.154e-07
     126 2.996e-06 4.243e-06 3.757e-06 3.545e-07
     158 3.782e-06 5.304e-06 4.387e-06 4.817e-07
     200 4.989e-06 7.035e-06 6.087e-06 6.187e-07
     251 6.336e-06 8.790e-06 6.998e-06 6.867e-07
     316 8.491e-06 1.161e-05 9.676e-06 1.057e-06
     398 1.108e-05 1.523e-05 1.291e-05 1.378e-06
     501 1.457e-05 1.983e-05 1.721e-05 1.673e-06
     631 1.871e-05 2.567e-05 2.028e-05 1.801e-06
     794 2.444e-05 2.879e-05 2.534e-05 6.688e-07
    1000 3.188e-05 3.642e-05 3.290e-05 6.446e-07
    1259 4.145e-05 4.798e-05 4.288e-05 8.817e-07
    1585 5.411e-05 6.806e-05 5.650e-05 2.460e-06
    1995 6.900e-05 1.011e-04 7.314e-05 5.641e-06
    2512 9.096e-05 1.049e-04 9.431e-05 2.341e-06
    3162 1.165e-04 1.538e-04 1.220e-04 7.279e-06
    3981 1.550e-04 1.844e-04 1.614e-04 6.121e-06
    5012 1.968e-04 2.349e-04 2.049e-04 6.697e-06
    6310 2.545e-04 3.314e-04 2.658e-04 1.445e-05
    7943 3.298e-04 4.113e-04 3.453e-04 1.582e-05
   10000 4.263e-04 5.073e-04 4.460e-04 1.731e-05
   12589 5.550e-04 6.589e-04 5.829e-04 2.207e-05
